modelo,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1
LogisticRegression,0.8543231495669034,0.013485367979185292,0.8574550981266468,0.019980017422262627,0.8507756309049445,0.02493921601137576,0.85373814645066,0.014125270519039588,0.8519249753208292,0.5483870967741935,0.864406779661017,0.6710526315789473
LinearSVC,0.8525551142937553,0.013850248350983509,0.8595275639611337,0.0200751974891096,0.843698468786808,0.026336614051728657,0.8511440432812272,0.014816930000245332,0.8558736426456071,0.5563636363636364,0.864406779661017,0.6769911504424779
KNeighborsClassifier,0.7782926295381344,0.007834903185747739,0.7962850630552034,0.018600643804842127,0.7496278475302608,0.033329785616137794,0.7714615460785735,0.012204144495110222,0.7946692991115498,0.44798657718120805,0.7542372881355932,0.5621052631578948
DecisionTreeClassifier,0.87624315957347,0.011666563620736283,0.8493677262559449,0.01168307870426091,0.915121670049871,0.02875191123714374,0.8807043879345382,0.012667146266433685,0.8405725567620927,0.5256198347107438,0.8983050847457628,0.6631908237747653
